DATE,HPCP,STATION,STATION_NAME
20130422 22:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130422 23:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130423 00:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130423 01:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130423 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130423 03:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130423 04:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130423 05:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130423 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130428 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130428 13:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130428 16:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130428 17:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130428 18:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130428 19:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130428 20:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130428 21:00,0.12,COOP:317069,RALEIGH AIRPORT NC US
20130428 22:00,0.22,COOP:317069,RALEIGH AIRPORT NC US
20130428 23:00,0.35,COOP:317069,RALEIGH AIRPORT NC US
20130429 00:00,0.14,COOP:317069,RALEIGH AIRPORT NC US
20130429 01:00,0.2,COOP:317069,RALEIGH AIRPORT NC US
20130429 02:00,0.14,COOP:317069,RALEIGH AIRPORT NC US
20130429 03:00,0.1,COOP:317069,RALEIGH AIRPORT NC US
20130429 04:00,0.27,COOP:317069,RALEIGH AIRPORT NC US
20130429 05:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130429 06:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130429 07:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130429 08:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130429 09:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130429 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130429 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130430 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130430 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130430 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130430 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130430 09:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130430 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130501 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130501 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130501 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130501 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130501 09:00,0,COOP:317069,RALEIGH AIRPORT NC US
